192,(주)피레타,대전광역시 유성구,기타                ,기타 엔지니어링 서비스업,발전설비 진단장치 및 엔지니어링서비스 엔지니어링서비스 용역 
193,(주)청화팜,대전광역시 서구,제조업              ,계면활성제 제조업,"한방치약 한방 아로마 코 스프레이 천연샴푸, 천연화장품"
194,(주)피제이씨,대전광역시 유성구,연구개발서비스      ,"물리, 화학 및 생물학 연구개발업",자동차 촉매  
195,(주)조은테크,대전광역시 유성구,제조업              ,그 외 기타 특수목적용 기계 제조업,Auto PCB Detach M/C Auto Tape Laminating M/C Auto Soldering M/C
196,(주)천일시스템,대전광역시 대덕구,제조업              ,그 외 기타 특수목적용 기계 제조업,타이어 측정기계  
197,(주)씨아이디지털,대전광역시 대덕구,제조업              ,경성 인쇄회로기판 제조업,DVR PCB 제조 및 검사  
198,케이링크,대전광역시 유성구,기타                ,환경 관련 엔지니어링 서비스업,수도시설 통합관리시스템 컨설팅  
199,씨케이랩(CK Lab),대전광역시 유성구,제조업              ,산업처리공정 제어장비 제조업,"제어장치, 계측장비, 점검장치  "
200,(주)세프라텍,대전광역시 대덕구,제조업              ,그 외 기타 특수목적용 기계 제조업,멤브레인 및 멤브레인장착기계  
201,(주)청림,대전광역시 대덕구,제조업              ,폴리스티렌 발포 성형제품 제조업,난연 스티로폼  
202,(주)더클레이,대전광역시 서구,제조업              ,기타 일반 도자기 제조업,유골함 생활도자기 
203,(주)크린바이오,대전광역시 유성구,제조업              ,화학 살균 살충제 및 농업용 약제 제조업,"공기살균기 도서소독기 천연살충제, 사료첨가제, 동물용 기능성제제"
204,(주)클레버로직,대전광역시 유성구,제조업              ,기타 무선 통신장비 제조업,3GPP LTE 범용 모뎀칩 개발  
205,(주)씨메스(CMES Inc.),대전광역시 유성구,제조업              ,기타 주변기기 제조업,3D Vision Sensor 및 스캐너 시스템  
206,(주)씨엠티,대전광역시 대덕구,제조업              ,기타 건축용 비내화 요업제품 제조업,전자파 감응 발열체 세라믹 부품 
207,(유한)충무타올,대전광역시 대덕구,제조업              ,그 외 기타 분류 안된 섬유제품 제조업,타월 샤워가운 원단 
208,(주)씨앤씨랩,대전광역시 대덕구,제조업              ,금속 가구 제조업,"흄후드, 실험실 테이블, 캐비넷  "
209,시엔시피이엘(주),대전광역시 유성구,제조업              ,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,석유화학촉매  
210,(주)알앤디프로젝트,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,"스마트팩토리 솔루션 기록물관리, 프로젝트 관리용 S/W 풍력발전기"
211,(주)씨앤아이인포,대전광역시 서구,"정보처리, S/W       ",컴퓨터 프로그래밍 서비스업,웹솔루션  
212,씨엔로봇(주),대전광역시 중구,제조업              ,전시용 모형 제조업,4족형 지능로봇 각종 교육장비 
213,(주)씨엔에스,대전광역시 대덕구,제조업              ,그 외 기타 특수목적용 기계 제조업,미생물배양기계 의약품 정제/분리 기계 
214,(주)씨앤포스,대전광역시 유성구,제조업              ,자동차용 엔진 제조업,자동차부품 재제조 연료시스템 크리닝 시스템 자동변속기 메인 케이스
215,씨앤에스테크(주),대전 유성구,제조업              ,표면광택제 및 실내가향제 제조업,기능성 세라믹 코팅제  
